title,score_num,watched_num,comment_num,ratio
未麻的部屋,322688,407154,85448,0.264800674
怪兽电力公司,655190,1127103,84674,0.129235794
哈利·波特与火焰杯,641433,1272631,66671,0.103940708
玩具总动员3,503585,865345,87485,0.173724396
幸福终点站,557897,834062,103568,0.185640002
傲慢与偏见,780352,1329834,170012,0.217865784
釜山行,1175453,2374057,261004,0.222045458
神偷奶爸,931207,1997926,136472,0.146553881
玛丽和马克思,416712,570226,115306,0.276704295
新世界,420336,537176,100555,0.239225286
被解救的姜戈,596842,825068,136342,0.228439017
告白,661884,892442,182030,0.275017979
大鱼,559496,833714,123736,0.221156183
哪吒闹海,253399,461558,34902,0.13773535
射雕英雄传之东成西就,624301,1013486,112730,0.180569949
阳光姐妹淘,582914,913756,143764,0.246629863
头号玩家,1343374,2606865,340486,0.253455851
喜宴,353459,472246,88041,0.249084052
我是山姆,331504,495078,75100,0.226543269
模仿游戏,634140,905927,143188,0.22579872
恐怖直播,640202,895410,142524,0.222623484
血战钢锯岭,770836,1428217,180405,0.234038109
花样年华,593100,887334,131937,0.222453212
九品芝麻官,658935,1085517,67141,0.101893206
七武士,193438,276146,45863,0.237094056
茶馆,136394,209358,38621,0.283157617
头脑特工队,597458,940573,141425,0.2367112
色，戒,780731,1207743,148741,0.190515043
惊魂记,284655,366641,71826,0.252326501
你的名字。,1378866,3003858,333704,0.242013365
电锯惊魂,520692,745009,93823,0.180189056
黑客帝国3：矩阵革命,438647,686069,49853,0.113651752
三块广告牌,806389,1219309,201077,0.24935484
达拉斯买家俱乐部,444377,649321,94891,0.213537154
疯狂原始人,823864,1601878,164671,0.199876436
心迷宫,508815,701776,135346,0.266002378
卢旺达饭店,323379,509817,61772,0.191020444
上帝之城,296685,419857,58709,0.197883277
谍影重重3,410020,651307,56859,0.138673723
英雄本色,528262,983360,83630,0.158311595
纵横四海,416317,666860,78809,0.189300461
风之谷,348460,701461,53858,0.154560064
海街日记,438005,584352,137217,0.313277246
爱在午夜降临前,391147,578847,109329,0.279508727
绿里奇迹,321819,466295,60036,0.186552068
记忆碎片,590053,876854,122948,0.208367723
岁月神偷,567172,868989,136983,0.241519327
忠犬八公物语,191510,560266,34871,0.182084486
荒蛮故事,435046,583613,119510,0.274706583
疯狂的石头,803584,1452772,104659,0.130240274
雨中曲,219047,320581,54270,0.247755048
小偷家族,799497,1519936,205769,0.257373073
爆裂鼓手,576036,816213,152011,0.263891493
无敌破坏王,526133,852219,107306,0.203952233
2001太空漫游,317244,421359,98755,0.311290363
背靠背，脸对脸,127150,164116,40666,0.319826976
贫民窟的百万富翁,733611,1209859,106973,0.145817061
小丑,985302,1458684,264691,0.268639463
无间道2,465922,739889,71110,0.152622113
冰川时代,600845,1188225,58785,0.097837213
东邪西毒,566997,1056241,98024,0.172882749
恐怖游轮,841838,1203957,180674,0.21461849
心灵奇旅,954236,1208696,352190,0.369080605
真爱至上,721870,1022354,190122,0.263374292
牯岭街少年杀人事件,290865,399765,77425,0.266188782
你看起来好像很好吃,327086,456582,90568,0.276893539
遗愿清单,449005,707408,96443,0.214792708
魔女宅急便,449293,934485,71235,0.158549098
东京教父,222201,275786,64978,0.292428927
黑天鹅,769071,1204087,172948,0.224879107
大佛普拉斯,443111,572831,120754,0.27251411
可可西里,297276,569188,55136,0.185470741
城市之光,142470,237278,30391,0.213315084
雨人,396675,629211,66746,0.168263692
源代码,819799,1212974,168374,0.205384491
恋恋笔记本,657194,978447,160405,0.24407557
海边的曼彻斯特,521094,752082,166033,0.318623895
初恋这件小事,966793,1933368,233807,0.241837705
人工智能,436265,641840,95721,0.219410221
虎口脱险,251072,365129,48987,0.195111362
波西米亚狂想曲,590850,831712,172176,0.29140391
青蛇,513045,823968,97582,0.190201639
萤火虫之墓,399319,634031,82372,0.206281194
终结者2：审判日,335185,564393,39287,0.117209899
罗生门,307560,467272,71326,0.231909221
疯狂的麦克斯4：狂暴之路,516215,710053,130517,0.252834575
新龙门客栈,433915,713069,66055,0.152230276
千钧一发,289864,374515,76862,0.265165733
奇迹男孩,543462,985213,145027,0.266857664
无耻混蛋,464977,624557,98340,0.211494332
崖上的波妞,482426,909580,97838,0.202804161
二十二,287549,636092,77935,0.271032068
彗星来的那一夜,564035,772973,142300,0.252289308
末路狂花,244857,339265,69205,0.282634354
黑客帝国2：重装上阵,398234,660498,47502,0.119281628
血钻,372537,586926,59720,0.160306225
房间,363335,565758,91475,0.2517649
爱乐之城,873458,1435152,284435,0.325642446
花束般的恋爱,592244,684715,235667,0.39792214
步履不停,273440,386907,84211,0.307968841
战争之王,360622,530378,54195,0.150282013
魂断蓝桥,272619,466700,56233,0.206269556
火星救援,710980,1204434,160983,0.226424091
谍影重重2,344913,579784,42723,0.123866018
哈利·波特与死亡圣器(上),557392,1144622,78528,0.140884692
千年女优,259377,321202,81777,0.315282388
芙蓉镇,129565,185968,40117,0.309628372
燃情岁月,281347,409644,64882,0.23061202
阿飞正传,500913,773211,111003,0.221601356
弱点,299406,415411,68799,0.229784974
谍影重重,416610,665865,62603,0.150267636
朗读者,447527,636228,84922,0.189758383
再次出发之纽约遇见你,419700,597120,119866,0.285599238
香水,535553,771674,118126,0.220568272
海洋,154904,228724,45908,0.2963642
哈利·波特与凤凰社,549355,1157199,59670,0.108618289
穿越时空的少女,375111,547158,87353,0.232872403
地球上的星星,201422,331236,51378,0.255076407
我的奇怪朋友,27202,26185,12476,0.458642747
