,title,work_id,score_num,watched_num,comment_num,ratio
0,布达佩斯大饭店,[work_id],908855,1339048, 218830,0.2407754812373811
0,蝴蝶效应,[work_id],918402,1525830, 168770,0.18376484371767482
0,致命魔术,[work_id],840535,1191601, 164384,0.1955706781990042
0,海豚湾,[work_id],352840,551306, 83197,0.23579242716245324
0,功夫,[work_id],1096300,2098264, 134499,0.12268448417403996
0,心灵捕手,[work_id],695639,1112114, 134209,0.1929290910946626
0,美国往事,[work_id],404085,600905, 89922,0.22253238798767586
0,春光乍泄,[work_id],620541,880165, 139118,0.2241882486411051
0,低俗小说,[work_id],817441,1194400, 162949,0.1993403805289923
0,哈利·波特与阿兹卡班的囚徒,[work_id],708157,1331057, 79705,0.11255272489010205
0,摩登时代,[work_id],294204,541861, 49326,0.16765917526614185
0,超脱,[work_id],580235,789969, 161276,0.2779494515153343
0,喜剧之王,[work_id],949792,1853880, 144541,0.1521817408443112
0,致命ID,[work_id],805186,1116695, 157062,0.19506300407607682
0,七宗罪,[work_id],927365,1444274, 148437,0.16006318979042772
0,杀人回忆,[work_id],696306,923882, 142682,0.20491278259845527
0,红辣椒,[work_id],451379,575806, 117405,0.26010292902416815
0,加勒比海盗,[work_id],840782,1683728, 93936,0.11172456118232788
0,哈利·波特与密室,[work_id],735416,1408419, 74746,0.10163771253277057
0,狩猎,[work_id],380996,526035, 112255,0.2946356392193094
0,被嫌弃的松子的一生,[work_id],692447,1026026, 195322,0.28207501801581925
0,7号房的礼物,[work_id],546856,931158, 121313,0.22183719297219012
0,一一,[work_id],381722,509536, 119646,0.31343752783439255
0,唐伯虎点秋香,[work_id],1056271,2235465, 113849,0.10778389258059722
0,请以你的名字呼唤我,[work_id],706703,1000601, 213432,0.3020108871760839
0,断背山,[work_id],696406,1066647, 140436,0.20165822810257236
0,剪刀手爱德华,[work_id],1019726,1914879, 166416,0.1631967803115739
0,勇敢的心,[work_id],551878,890965, 97455,0.17658794153780363
0,入殓师,[work_id],651543,925902, 145549,0.22339124202086433
0,爱在黎明破晓前,[work_id],665468,940844, 177284,0.2664049961831373
0,第六感,[work_id],545083,737968, 119495,0.21922349440360459
0,重庆森林,[work_id],793880,1197274, 178220,0.22449236660452462
0,蝙蝠侠：黑暗骑士崛起,[work_id],704918,1130749, 144690,0.20525791652362402
0,幽灵公主,[work_id],513377,957770, 81048,0.15787228489005156
0,超能陆战队,[work_id],991697,1934948, 192038,0.19364584142132124
0,菊次郎的夏天,[work_id],583344,915673, 150020,0.25717244027537783
0,爱在日落黄昏时,[work_id],546284,782222, 132633,0.24279129537017374
0,甜蜜蜜,[work_id],536795,767957, 133591,0.2488678173231867
0,天使爱美丽,[work_id],945093,1704326, 192648,0.2038402569905819
0,阳光灿烂的日子,[work_id],603772,920620, 115122,0.19067131301219667
0,小森林 夏秋篇,[work_id],417892,650621, 111212,0.26612617614120393
0,完美的世界,[work_id],308198,437323, 77073,0.25007624968364495
0,借东西的小人阿莉埃蒂,[work_id],541457,823310, 109252,0.20177410209859695
0,无人知晓,[work_id],311738,432455, 92150,0.29560079297358677
0,消失的爱人,[work_id],914956,1280787, 239616,0.2618880033575385
0,倩女幽魂,[work_id],722088,1449663, 110136,0.1525243460630837
0,小森林 冬春篇,[work_id],373162,591134, 88774,0.2378966775823905
0,寄生虫,[work_id],1342867,2119422, 349183,0.2600279849009619
0,侧耳倾听,[work_id],452826,674627, 102917,0.22727714398024848
0,时空恋旅人,[work_id],649053,969136, 175718,0.2707298171335777
0,驯龙高手,[work_id],742053,1313572, 120040,0.1617674209254595
0,教父3,[work_id],365457,637659, 48823,0.1335943763561787
0,萤火之森,[work_id],526109,883978, 115704,0.2199240081427993
0,一个叫欧维的男人决定去死,[work_id],466251,713615, 128756,0.2761516865379377
0,未麻的部屋,[work_id],322688,407154, 85448,0.26480067433558113
0,怪兽电力公司,[work_id],655190,1127103, 84674,0.12923579419710313
0,哈利·波特与火焰杯,[work_id],641433,1272631, 66671,0.10394070775903329
0,玩具总动员3,[work_id],503585,865345, 87485,0.17372439608010565
0,幸福终点站,[work_id],557897,834062, 103568,0.18564000164904992
0,傲慢与偏见,[work_id],780352,1329834, 170012,0.21786578364635448
0,釜山行,[work_id],1175453,2374057, 261004,0.2220454582190866
0,神偷奶爸,[work_id],931207,1997926, 136472,0.1465538811456529
0,玛丽和马克思,[work_id],416712,570226, 115306,0.2767042945727505
0,新世界,[work_id],420336,537176, 100555,0.23922528643751664
0,被解救的姜戈,[work_id],596842,825068, 136342,0.22843901736137873
0,告白,[work_id],661884,892442, 182030,0.2750179789812112
0,大鱼,[work_id],559496,833714, 123736,0.22115618342222285
0,哪吒闹海,[work_id],253399,461558, 34902,0.13773535017896676
0,射雕英雄传之东成西就,[work_id],624301,1013486, 112730,0.18056994943144414
0,阳光姐妹淘,[work_id],582914,913756, 143764,0.24662986306727921
0,头号玩家,[work_id],1343374,2606865, 340486,0.2534558507161818
0,喜宴,[work_id],353459,472246, 88041,0.24908405218144114
0,我是山姆,[work_id],331504,495078, 75100,0.22654326946281192
0,模仿游戏,[work_id],634140,905927, 143188,0.2257987195256568
0,恐怖直播,[work_id],640202,895410, 142524,0.22262348446271646
0,血战钢锯岭,[work_id],770836,1428217, 180405,0.2340381092735679
0,花样年华,[work_id],593100,887334, 131937,0.2224532119372787
0,九品芝麻官,[work_id],658935,1085517, 67141,0.10189320646194237
0,七武士,[work_id],193438,276146, 45863,0.23709405597659197
0,茶馆,[work_id],136394,209358, 38621,0.2831576169039694
0,头脑特工队,[work_id],597458,940573, 141425,0.236711199783081
0,色，戒,[work_id],780731,1207743, 148741,0.19051504295333477
0,惊魂记,[work_id],284655,366641, 71826,0.252326500500606
0,你的名字。,[work_id],1378866,3003858, 333704,0.24201336460540762
0,电锯惊魂,[work_id],520692,745009, 93823,0.1801890561022639
0,黑客帝国3：矩阵革命,[work_id],438647,686069, 49853,0.11365175186425532
0,三块广告牌,[work_id],806389,1219309, 201077,0.2493548399097706
0,达拉斯买家俱乐部,[work_id],444377,649321, 94891,0.21353715426315945
0,疯狂原始人,[work_id],823864,1601878, 164671,0.1998764359166076
0,心迷宫,[work_id],508815,701776, 135346,0.26600237807454574
0,卢旺达饭店,[work_id],323379,509817, 61772,0.19102044350437103
0,上帝之城,[work_id],296685,419857, 58709,0.1978832768761481
0,谍影重重3,[work_id],410020,651307, 56859,0.13867372323301302
0,英雄本色,[work_id],528262,983360, 83630,0.15831159538259423
0,纵横四海,[work_id],416317,666860, 78809,0.18930046094682657
0,风之谷,[work_id],348460,701461, 53858,0.15456006428284452
0,海街日记,[work_id],438005,584352, 137217,0.3132772456935423
0,爱在午夜降临前,[work_id],391147,578847, 109329,0.27950872689807155
0,绿里奇迹,[work_id],321819,466295, 60036,0.18655206808796249
0,记忆碎片,[work_id],590053,876854, 122948,0.20836772289946837
0,岁月神偷,[work_id],567172,868989, 136983,0.24151932747032645
0,忠犬八公物语,[work_id],191510,560266, 34871,0.18208448644979375
0,荒蛮故事,[work_id],435046,583613, 119510,0.27470658275216875
0,疯狂的石头,[work_id],803584,1452772, 104659,0.13024027357438675
0,雨中曲,[work_id],219047,320581, 54270,0.24775504800339654
0,小偷家族,[work_id],799497,1519936, 205769,0.2573730733198499
0,爆裂鼓手,[work_id],576036,816213, 152011,0.26389149289280533
0,无敌破坏王,[work_id],526133,852219, 107306,0.2039522326103856
0,2001太空漫游,[work_id],317244,421359, 98755,0.31129036325352094
0,背靠背，脸对脸,[work_id],127150,164116, 40666,0.3198269760125836
0,贫民窟的百万富翁,[work_id],733611,1209859, 106973,0.14581706108550718
0,小丑,[work_id],985302,1458684, 264691,0.2686394628245959
0,无间道2,[work_id],465922,739889, 71110,0.15262211271414527
0,冰川时代,[work_id],600845,1188225, 58785,0.0978372125922659
0,东邪西毒,[work_id],566997,1056241, 98024,0.17288274893870692
0,恐怖游轮,[work_id],841838,1203957, 180674,0.21461848954311874
0,心灵奇旅,[work_id],954236,1208696, 352190,0.3690806047979745
0,真爱至上,[work_id],721870,1022354, 190122,0.2633742917699863
0,牯岭街少年杀人事件,[work_id],290865,399765, 77425,0.26618878173723204
0,你看起来好像很好吃,[work_id],327086,456582, 90568,0.2768935387023596
0,遗愿清单,[work_id],449005,707408, 96443,0.2147927083217336
0,魔女宅急便,[work_id],449293,934485, 71235,0.1585490982499171
0,东京教父,[work_id],222201,275786, 64978,0.2924289269625249
0,黑天鹅,[work_id],769071,1204087, 172948,0.22487910739060502
0,大佛普拉斯,[work_id],443111,572831, 120754,0.2725141104599073
0,可可西里,[work_id],297276,569188, 55136,0.18547074099490035
0,城市之光,[work_id],142470,237278, 30391,0.2133150838773075
0,雨人,[work_id],396675,629211, 66746,0.16826369193924498
0,源代码,[work_id],819799,1212974, 168374,0.20538449058854671
0,恋恋笔记本,[work_id],657194,978447, 160405,0.24407556977087436
0,海边的曼彻斯特,[work_id],521094,752082, 166033,0.31862389511297384
0,初恋这件小事,[work_id],966793,1933368, 233807,0.24183770465859808
0,人工智能,[work_id],436265,641840, 95721,0.2194102208520051
0,虎口脱险,[work_id],251072,365129, 48987,0.19511136247769564
0,波西米亚狂想曲,[work_id],590850,831712, 172176,0.2914039096217314
0,青蛇,[work_id],513045,823968, 97582,0.190201639232426
0,萤火虫之墓,[work_id],399319,634031, 82372,0.20628119373232928
0,终结者2：审判日,[work_id],335185,564393, 39287,0.11720989901099393
0,罗生门,[work_id],307560,467272, 71326,0.23190922096501496
0,疯狂的麦克斯4：狂暴之路,[work_id],516215,710053, 130517,0.2528345747411447
0,新龙门客栈,[work_id],433915,713069, 66055,0.15223027551478976
0,千钧一发,[work_id],289864,374515, 76862,0.26516573289542683
0,奇迹男孩,[work_id],543462,985213, 145027,0.2668576643813183
0,无耻混蛋,[work_id],464977,624557, 98340,0.21149433197771073
0,崖上的波妞,[work_id],482426,909580, 97838,0.20280416063810822
0,二十二,[work_id],287549,636092, 77935,0.27103206757804754
0,彗星来的那一夜,[work_id],564035,772973, 142300,0.25228930828760626
0,末路狂花,[work_id],244857,339265, 69205,0.28263435392902797
0,黑客帝国2：重装上阵,[work_id],398234,660498, 47502,0.11928162838933894
0,血钻,[work_id],372537,586926, 59720,0.16030622461661526
0,房间,[work_id],363335,565758, 91475,0.25176490016100844
0,爱乐之城,[work_id],873458,1435152, 284435,0.32564244645993284
0,花束般的恋爱,[work_id],592244,684715, 235667,0.39792214019897204
0,步履不停,[work_id],273440,386907, 84211,0.3079688414277355
0,战争之王,[work_id],360622,530378, 54195,0.15028201274464675
0,魂断蓝桥,[work_id],272619,466700, 56233,0.20626955568027172
0,火星救援,[work_id],710980,1204434, 160983,0.22642409069172129
0,谍影重重2,[work_id],344913,579784, 42723,0.12386601838724548
0,哈利·波特与死亡圣器(上),[work_id],557392,1144622, 78528,0.14088469156356748
0,千年女优,[work_id],259377,321202, 81777,0.31528238818399473
0,芙蓉镇,[work_id],129565,185968, 40117,0.30962837185968434
0,燃情岁月,[work_id],281347,409644, 64882,0.23061202003220221
0,阿飞正传,[work_id],500913,773211, 111003,0.22160135592408262
0,弱点,[work_id],299406,415411, 68799,0.22978497424901304
0,谍影重重,[work_id],416610,665865, 62603,0.1502676363985502
0,朗读者,[work_id],447527,636228, 84922,0.18975838329307507
0,再次出发之纽约遇见你,[work_id],419700,597120, 119866,0.2855992375506314
0,香水,[work_id],535553,771674, 118126,0.22056827242121696
0,海洋,[work_id],154904,228724, 45908,0.2963641997624335
0,哈利·波特与凤凰社,[work_id],549355,1157199, 59670,0.10861828872040848
0,穿越时空的少女,[work_id],375111,547158, 87353,0.23287240310201512
0,地球上的星星,[work_id],201422,331236, 51378,0.25507640674802157
0,我的奇怪朋友,[work_id],27202,26185, 12476,0.45864274685684875
0,超星星学园,[work_id],80294,79169, 29403,0.3661917453358906
0,相爱穿梭千年2：月光下的交换,[work_id],14477,14305, 5788,0.3998065897630725
0,女心理师,[work_id],216370,183656, 104730,0.48403198225262284
0,招摇,[work_id],67845,66663, 26867,0.3960056010022846
0,蓝色生死恋,[work_id],15681,37134, 5704,0.3637523117148141
0,烈火军校,[work_id],56491,56632, 21121,0.37388256536439435
0,从前有座灵剑山,[work_id],84471,83166, 37595,0.44506398645689055
0,天舞纪,[work_id],24729,23887, 10380,0.4197500909862914
0,骊歌行,[work_id],37247,35276, 19205,0.5156119955969608
0,1921,[work_id],164870,237093, 72999,0.44276702856796263
0,千古玦尘,[work_id],145292,131962, 74699,0.5141301654599014
0,你微笑时很美,[work_id],412261,388975, 213417,0.5176744829125238
0,尚食,[work_id],30815,29354, 15108,0.4902807074476716
0,爱的二八定律,[work_id],134365,121377, 60257,0.44845755963234474
0,下一站是幸福,[work_id],195545,179648, 86061,0.440108414942852
0,少主且慢行 第一季,[work_id],35865,37354, 12150,0.33877038895859474
0,少主且慢行 第二季,[work_id],24225,25865, 6211,0.25638802889576884
0,刺杀小说家,[work_id],638705,857645, 266347,0.4170109831612403
0,月光变奏曲,[work_id],100391,99976, 42015,0.4185136117779482
0,苍兰诀,[work_id],654762,619339, 308054,0.4704824042934685
0,两个人的小森林,[work_id],60429,57215, 25849,0.42775819556835293
0,捉妖记2,[work_id],354460,1060575, 110656,0.31218191051176436
0,哦！我的皇帝陛下 第一季,[work_id],121391,121971, 42929,0.3536423622838596
0,哦！我的皇帝陛下 第二季,[work_id],57794,58720, 16713,0.2891822680555075
0,斗破苍穹,[work_id],113098,108253, 49957,0.44171426550425297
0,陈情令,[work_id],1688942,1619878, 837672,0.49597440291022427
