,title,rating,score_num,comment_num,ratio,id
0,第六感,8.9,544824, 119435,0.219,1297630
0,重庆森林,8.8,793436, 178115,0.224,1291999
0,蝙蝠侠：黑暗骑士崛起,8.8,704613, 144655,0.205,3395373
0,幽灵公主,8.9,513115, 80996,0.158,1297359
0,超能陆战队,8.7,991255, 191999,0.194,11026735
0,菊次郎的夏天,8.9,582982, 149955,0.257,1293359
0,爱在日落黄昏时,8.9,545931, 132560,0.243,1291990
0,甜蜜蜜,8.9,536261, 133427,0.249,1305164
0,天使爱美丽,8.7,944836, 192584,0.204,1292215
0,阳光灿烂的日子,8.9,603522, 115064,0.191,1291875
0,小森林 夏秋篇,9.0,417646, 111142,0.266,25814705
0,完美的世界,9.1,307974, 77017,0.25,1300992
0,借东西的小人阿莉埃蒂,8.9,541174, 109200,0.202,4202302
0,无人知晓,9.1,311506, 92081,0.296,1292337
0,消失的爱人,8.7,914511, 239518,0.262,21318488
0,倩女幽魂,8.8,721535, 109971,0.152,1297447
0,小森林 冬春篇,9.0,372934, 88704,0.238,25814707
0,寄生虫,8.8,1342214, 349063,0.26,27010768
0,侧耳倾听,8.9,452571, 102840,0.227,1297052
0,时空恋旅人,8.8,648637, 175597,0.271,10577869
0,幸福终点站,8.8,557605, 103500,0.186,1292274
0,驯龙高手,8.8,741744, 119996,0.162,2353023
0,教父3,9.0,365247, 48795,0.134,1294240
0,萤火之森,8.9,525805, 115635,0.22,5989818
0,一个叫欧维的男人决定去死,8.9,465821, 128638,0.276,26628357
0,怪兽电力公司,8.8,654857, 84616,0.129,1291579
0,哈利·波特与火焰杯,8.8,640962, 66622,0.104,1309055
0,未麻的部屋,9.1,322435, 85384,0.265,1395091
0,玩具总动员3,8.9,503334, 87436,0.174,1858711
0,傲慢与偏见,8.7,779801, 169854,0.218,1418200
0,釜山行,8.6,1174858, 260897,0.222,25986180
0,神偷奶爸,8.7,930792, 136418,0.147,3287562
0,玛丽和马克思,9.0,416581, 115275,0.277,3072124
0,新世界,8.9,419912, 100465,0.239,10437779
0,被解救的姜戈,8.8,596539, 136285,0.228,6307447
0,告白,8.8,661626, 181952,0.275,4268598
0,大鱼,8.8,559221, 123663,0.221,1291545
0,哪吒闹海,9.2,253248, 34880,0.138,1307315
0,射雕英雄传之东成西就,8.7,623935, 112615,0.18,1316510
0,阳光姐妹淘,8.8,582729, 143720,0.247,4917726
0,头号玩家,8.7,1342800, 340387,0.253,4920389
0,喜宴,9.0,353162, 87950,0.249,1303037
0,我是山姆,9.0,331342, 75064,0.227,1306861
0,模仿游戏,8.8,633838, 143131,0.226,10463953
0,恐怖直播,8.7,639947, 142465,0.223,21360417
0,血战钢锯岭,8.7,770539, 180376,0.234,26325320
0,花样年华,8.7,592751, 131847,0.222,1291557
0,九品芝麻官,8.7,658495, 67085,0.102,1297518
0,七武士,9.3,193300, 45828,0.237,1295399
0,茶馆,9.5,136130, 38543,0.283,1461403
0,头脑特工队,8.8,597101, 141363,0.237,10533913
0,色，戒,8.6,780035, 148566,0.19,1828115
0,黑客帝国3：矩阵革命,8.8,438440, 49838,0.114,1302467
0,惊魂记,9.0,284392, 71758,0.252,1293181
0,你的名字。,8.5,1377902, 333514,0.242,26683290
0,电锯惊魂,8.8,520405, 93772,0.18,1417598
0,三块广告牌,8.7,806072, 201012,0.249,26611804
0,达拉斯买家俱乐部,8.8,444174, 94856,0.214,1793929
0,疯狂原始人,8.7,823526, 164623,0.2,1907966
0,心迷宫,8.7,508525, 135269,0.266,25917973
0,卢旺达饭店,8.9,323185, 61731,0.191,1291822
0,上帝之城,9.0,296545, 58687,0.198,1292208
0,谍影重重3,8.8,409806, 56828,0.139,1578507
0,英雄本色,8.6,527891, 83552,0.158,1297574
0,纵横四海,8.8,416046, 78744,0.189,1295409
0,风之谷,8.9,348338, 53830,0.155,1291585
0,海街日记,8.8,437738, 137147,0.313,25895901
0,爱在午夜降临前,8.9,390857, 109259,0.28,10808442
0,绿里奇迹,8.9,321610, 60000,0.187,1300374
0,记忆碎片,8.7,589806, 122891,0.208,1304447
0,岁月神偷,8.7,567001, 136946,0.242,3792799
0,忠犬八公物语,9.2,191324, 34817,0.182,1959195
0,荒蛮故事,8.8,434813, 119445,0.275,24750126
0,雨中曲,9.1,218871, 54213,0.248,1293460
0,小偷家族,8.7,799085, 205681,0.257,27622447
0,疯狂的石头,8.6,803205, 104604,0.13,1862151
0,爆裂鼓手,8.7,575660, 151920,0.264,25773932
0,无敌破坏王,8.7,525848, 107270,0.204,6534248
0,2001太空漫游,8.9,316885, 98608,0.311,1292226
