,title,rating,score_num,comment_num,ratio,id
0,肖申克的救赎,9.7,2826380,553533,0.196,1292052
1,霸王别姬,9.6,2094515,445227,0.213,1291546
2,阿甘正传,9.5,2116313,354470,0.167,1292720
3,泰坦尼克号,9.5,2124229,422456,0.199,1292722
4,这个杀手不太冷,9.4,2250555,383893,0.171,1295644
5,美丽人生,9.6,1300919,284800,0.219,1292063
6,千与千寻,9.4,2193404,406378,0.185,1291561
7,辛德勒的名单,9.6,1083589,180658,0.167,1295124
8,盗梦空间,9.4,2021568,396248,0.196,3541415
9,星际穿越,9.4,1786377,438006,0.245,1889243
10,楚门的世界,9.4,1657974,329729,0.199,1292064
11,忠犬八公的故事,9.4,1373733,302261,0.22,3011091
12,海上钢琴师,9.3,1646379,330886,0.201,1292001
13,三傻大闹宝莱坞,9.2,1824906,360173,0.197,3793023
14,放牛班的春天,9.3,1286442,226199,0.176,1291549
15,机器人总动员,9.3,1291616,232612,0.18,2131459
16,无间道,9.3,1331554,217043,0.163,1307914
17,疯狂动物城,9.2,1884403,381114,0.202,25662329
18,控方证人,9.6,535805,155931,0.291,1296141
19,大话西游之大圣娶亲,9.2,1503109,253416,0.169,1292213
20,熔炉,9.4,914712,213431,0.233,5912992
21,教父,9.3,945048,162326,0.172,1291841
22,当幸福来敲门,9.2,1490973,242659,0.163,1849031
23,触不可及,9.3,1086280,237395,0.219,6786002
24,怦然心动,9.1,1796818,419095,0.233,3319755
25,龙猫,9.2,1239529,231527,0.187,1291560
26,末代皇帝,9.3,857903,177230,0.207,1293172
27,寻梦环游记,9.1,1633945,419305,0.257,20495023
28,活着,9.3,824286,176092,0.214,1292365
29,蝙蝠侠：黑暗骑士,9.2,1034525,178450,0.172,1851857
30,哈利·波特与魔法石,9.2,1158164,182218,0.157,1295038
31,指环王3：王者无敌,9.3,786171,112528,0.143,1291552
32,乱世佳人,9.3,676217,152481,0.225,1300267
33,我不是药神,9.0,2056399,532245,0.259,26752088
34,素媛,9.3,672193,143427,0.213,21937452
35,飞屋环游记,9.1,1297611,212403,0.164,2129039
36,何以为家,9.1,1023276,258903,0.253,30170448
37,十二怒汉,9.4,477623,115061,0.241,1293182
38,哈尔的移动城堡,9.1,998464,179446,0.18,1308807
39,摔跤吧！爸爸,9.0,1540159,312594,0.203,26387939
40,鬼子来了,9.3,613285,117393,0.191,1291858
41,少年派的奇幻漂流,9.1,1326537,305420,0.23,1929463
42,让子弹飞,9.0,1663329,318262,0.191,3742360
43,猫鼠游戏,9.1,995207,180701,0.182,1305487
44,海蒂和爷爷,9.3,587069,179733,0.306,25958717
45,钢琴家,9.3,619923,115475,0.186,1296736
46,大话西游之月光宝盒,9.0,1197239,134833,0.113,1299398
47,天空之城,9.2,803186,121610,0.151,1291583
48,指环王2：双塔奇兵,9.2,736427,86568,0.118,1291572
49,闻香识女人,9.1,861440,175756,0.204,1298624
50,天堂电影院,9.2,668531,142967,0.214,1291828
51,罗马假日,9.1,932104,173285,0.186,1293839
52,绿皮书,8.9,1609673,389298,0.242,27060077
53,死亡诗社,9.2,705308,168551,0.239,1291548
54,大闹天宫,9.4,425913,54155,0.127,1418019
55,指环王1：护戒使者,9.1,828684,125081,0.151,1291571
56,黑客帝国,9.1,821104,135712,0.165,1291843
57,教父2,9.3,539036,67581,0.125,1299131
58,狮子王,9.1,819749,104289,0.127,1301753
59,辩护人,9.2,579055,127827,0.221,21937445
60,饮食男女,9.2,607112,152724,0.252,1291818
61,美丽心灵,9.1,753911,141573,0.188,1306029
62,本杰明·巴顿奇事,9.0,963786,186927,0.194,1485260
63,穿条纹睡衣的男孩,9.2,550262,123448,0.224,3008247
64,窃听风暴,9.2,553406,130231,0.235,1900841
65,情书,8.9,1086282,287545,0.265,1292220
66,两杆大烟枪,9.1,584456,123150,0.211,1293350
67,西西里的美丽传说,8.9,955461,181934,0.19,1292402
68,音乐之声,9.1,588909,83136,0.141,1294408
69,看不见的客人,8.8,1230217,291616,0.237,26580232
70,阿凡达,8.8,1393927,268645,0.193,1652587
71,拯救大兵瑞恩,9.1,634127,86654,0.137,1292849
72,飞越疯人院,9.1,536955,110536,0.206,1292224
73,小鞋子,9.2,402419,89761,0.223,1303021
74,哈利·波特与死亡圣器(下),9.0,811049,141641,0.175,3011235
75,沉默的羔羊,8.9,868571,137814,0.159,1293544
76,禁闭岛,8.9,952669,175292,0.184,2334904
77,搏击俱乐部,9.0,829652,175585,0.212,1292000
78,布达佩斯大饭店,8.9,907168,218455,0.241,11525673
79,蝴蝶效应,8.9,917205,168538,0.184,1292343
80,致命魔术,8.9,839564,164210,0.196,1780330
81,海豚湾,9.3,352523,83124,0.236,3442220
82,功夫,8.8,1094164,134192,0.123,1291543
83,心灵捕手,8.9,693287,133579,0.193,1292656
84,美国往事,9.2,403594,89802,0.223,1292262
85,低俗小说,8.9,816178,162696,0.199,1291832
86,春光乍泄,9.0,619494,138866,0.224,1292679
87,哈利·波特与阿兹卡班的囚徒,8.9,706626,79539,0.113,1291544
88,摩登时代,9.3,293698,49247,0.168,1294371
89,超脱,9.0,578622,160868,0.278,5322596
90,喜剧之王,8.8,948390,144331,0.152,1302425
91,致命ID,8.9,803980,156865,0.195,1297192
92,七宗罪,8.8,926329,148285,0.16,1292223
93,杀人回忆,8.9,695105,142465,0.205,1300299
