title,work_id,score_num,ratio_5s,ratio_4s,ratio_3s,ratio_2s,ratio_1s
超能陆战队,11026735,991891,48.5,40.8,10.0,0.6,0.1
完美的世界,1300992,308281,63.7,30.2,5.4,0.4,0.2
借东西的小人阿莉埃蒂,4202302,541570,53.6,37.9,8.0,0.4,0.1
无人知晓,1292337,311830,62.6,32.0,4.9,0.4,0.2
消失的爱人,21318488,915121,47.8,42.7,8.7,0.6,0.2
倩女幽魂,1297447,722261,48.9,41.4,9.2,0.4,0.1
小森林 冬春篇,25814707,373239,60.4,32.1,6.8,0.5,0.2
寄生虫,27010768,1343137,49.4,41.7,8.1,0.6,0.3
侧耳倾听,1297052,452947,56.1,35.1,8.3,0.5,0.1
时空恋旅人,10577869,649218,52.1,36.9,10.0,0.7,0.2
幸福终点站,1292274,557993,51.9,39.0,8.4,0.5,0.1
驯龙高手,2353023,742192,48.7,41.3,9.5,0.4,0.1
教父3,1294240,365562,59.4,32.5,7.4,0.5,0.2
萤火之森,5989818,526255,55.0,34.3,9.6,0.8,0.2
一个叫欧维的男人决定去死,26628357,466406,54.2,37.8,7.5,0.5,0.1
未麻的部屋,1395091,322789,61.3,31.7,6.3,0.5,0.2
怪兽电力公司,1291579,655329,48.8,41.4,9.3,0.4,0.1
哈利·波特与火焰杯,1309055,641634,50.2,38.9,10.2,0.6,0.1
玩具总动员3,1858711,503713,54.7,35.9,8.9,0.4,0.1
傲慢与偏见,1418200,780571,47.8,40.5,10.8,0.8,0.2
釜山行,25986180,1175666,43.4,44.5,11.0,0.8,0.3
神偷奶爸,3287562,931389,44.7,44.0,10.7,0.5,0.1
玛丽和马克思,3072124,416765,57.7,33.3,8.0,0.7,0.2
新世界,10437779,420487,54.6,37.2,7.6,0.5,0.2
被解救的姜戈,6307447,596962,50.8,39.8,8.6,0.6,0.2
告白,4268598,661977,51.5,37.3,9.6,1.1,0.5
大鱼,1291545,559595,51.9,37.3,9.7,0.8,0.2
哪吒闹海,1307315,253461,65.2,28.1,6.2,0.4,0.1
射雕英雄传之东成西就,1316510,624425,53.4,33.2,11.3,1.6,0.6
阳光姐妹淘,4917726,582996,51.4,37.9,9.7,0.8,0.2
头号玩家,4920389,1343587,48.5,37.9,12.0,1.3,0.4
喜宴,1303037,353578,55.3,38.4,5.8,0.3,0.1
我是山姆,1306861,331584,57.6,34.8,7.0,0.4,0.1
模仿游戏,10463953,634261,48.7,41.5,9.2,0.5,0.1
恐怖直播,21360417,640313,48.1,41.4,9.7,0.7,0.2
血战钢锯岭,26325320,770973,46.5,41.6,10.8,0.9,0.2
花样年华,1291557,593252,48.6,40.9,9.7,0.6,0.2
九品芝麻官,1297518,659138,46.5,42.9,10.0,0.4,0.1
七武士,1295399,193506,71.0,23.9,4.5,0.4,0.2
茶馆,1461403,136516,80.4,17.1,2.3,0.2,0.1
头脑特工队,10533913,597577,51.6,36.9,10.5,0.8,0.2
色，戒,1828115,780999,46.5,40.7,11.7,0.8,0.3
黑客帝国3：矩阵革命,1302467,438718,53.7,35.4,9.8,0.8,0.2
惊魂记,1293181,284765,58.9,34.5,6.0,0.4,0.2
你的名字。,26683290,1379220,43.5,38.7,15.9,1.6,0.4
电锯惊魂,1417598,520810,51.0,37.2,10.5,1.0,0.4
三块广告牌,26611804,806529,46.8,43.4,8.9,0.7,0.2
达拉斯买家俱乐部,1793929,444454,50.0,42.2,7.4,0.4,0.1
疯狂原始人,1907966,823978,46.5,41.5,11.2,0.6,0.1
心迷宫,25917973,508930,47.8,42.9,8.4,0.6,0.2
卢旺达饭店,1291822,323443,54.7,38.2,6.6,0.4,0.1
上帝之城,1292208,296736,57.9,34.4,7.0,0.5,0.2
英雄本色,1297574,528406,44.6,43.6,11.2,0.5,0.1
谍影重重3,1578507,410097,52.0,38.5,9.0,0.4,0.1
纵横四海,1295409,416425,51.9,38.0,9.2,0.7,0.2
风之谷,1291585,348513,55.0,35.6,8.7,0.5,0.2
海街日记,25895901,438114,50.2,40.7,8.5,0.5,0.1
爱在午夜降临前,10808442,391263,54.6,35.2,9.1,0.8,0.3
绿里奇迹,1300374,321907,56.2,34.4,8.4,0.7,0.2
岁月神偷,3792799,567236,48.6,39.9,10.6,0.8,0.2
忠犬八公物语,1959195,191573,66.3,27.6,5.5,0.4,0.2
荒蛮故事,24750126,435142,49.0,41.6,8.6,0.6,0.2
疯狂的石头,1862151,803730,43.0,43.7,12.1,1.0,0.2
雨中曲,1293460,219121,62.4,31.1,6.0,0.4,0.1
小偷家族,27622447,799642,45.0,44.7,9.4,0.7,0.2
爆裂鼓手,25773932,576163,47.1,40.5,10.9,1.1,0.4
无敌破坏王,6534248,526269,48.3,40.6,10.4,0.6,0.1
2001太空漫游,1292226,317359,59.6,28.7,9.1,1.7,0.9
背靠背，脸对脸,1307856,127211,76.1,21.5,2.1,0.1,0.1
记忆碎片,1304447,590147,46.7,41.6,10.5,0.9,0.3
贫民窟的百万富翁,2209573,733724,43.0,44.8,11.3,0.7,0.2
小丑,27119724,985479,50.5,37.7,10.1,1.2,0.6
无间道2,1307106,466059,48.0,41.0,10.3,0.6,0.1
冰川时代,1291578,600951,43.5,45.2,10.8,0.5,0.1
东邪西毒,1292328,567093,48.1,38.4,11.8,1.3,0.5
恐怖游轮,3011051,842027,42.4,43.1,13.0,1.2,0.3
心灵奇旅,24733428,954448,48.6,38.5,11.9,0.8,0.2
真爱至上,1292401,721973,46.0,38.2,14.0,1.4,0.4
牯岭街少年杀人事件,1292329,290960,57.4,32.5,8.7,1.1,0.4
你看起来好像很好吃,4848115,327147,55.0,35.3,8.8,0.6,0.2
遗愿清单,1867345,449145,47.2,41.8,10.3,0.6,0.1
魔女宅急便,1307811,449387,46.7,42.8,10.1,0.4,0.1
东京教父,1310177,222283,59.8,33.2,6.4,0.4,0.1
黑天鹅,1978709,769143,42.3,45.2,11.5,0.8,0.2
大佛普拉斯,27059130,443253,48.5,41.6,8.8,0.8,0.3
可可西里,1308857,297342,53.4,37.9,8.0,0.5,0.2
城市之光,1293908,142508,70.8,25.0,3.9,0.2,0.1
雨人,1291870,396752,47.1,43.4,8.9,0.5,0.1
源代码,3075287,819944,39.8,47.6,11.8,0.6,0.1
恋恋笔记本,1309163,657316,44.6,40.2,13.5,1.3,0.3
海边的曼彻斯特,25980443,521258,43.8,43.4,11.5,1.0,0.2
初恋这件小事,4739952,966933,41.9,41.8,14.7,1.3,0.3
人工智能,1302827,436369,48.6,38.6,11.4,1.1,0.3
虎口脱险,1296909,251137,57.4,32.9,8.6,0.8,0.3
波西米亚狂想曲,5300054,591007,47.7,38.7,12.1,1.3,0.2
青蛇,1303394,513165,44.7,42.5,11.8,0.8,0.2
终结者2：审判日,1291844,335244,50.3,39.2,9.9,0.5,0.1
萤火虫之墓,1293318,399385,53.9,32.7,10.0,1.7,1.8
罗生门,1291879,307655,52.0,38.1,8.9,0.7,0.3
疯狂的麦克斯4：狂暴之路,3592854,516353,48.9,37.4,11.7,1.4,0.5
新龙门客栈,1292287,434019,45.0,44.2,10.2,0.5,0.1
千钧一发,1300117,289930,51.0,39.8,8.5,0.5,0.1
奇迹男孩,26787574,543519,42.9,44.3,12.0,0.7,0.1
无耻混蛋,1438652,465074,45.6,42.6,10.5,0.9,0.3
崖上的波妞,1959877,482538,45.0,41.9,12.2,0.8,0.2
二十二,26430107,287589,50.7,35.0,12.3,1.5,0.5
彗星来的那一夜,25807345,564165,43.0,43.4,12.0,1.2,0.4
黑客帝国2：重装上阵,1304141,398310,47.0,40.9,11.1,0.8,0.2
末路狂花,1291992,244967,54.8,36.4,7.9,0.6,0.2
血钻,1428175,372622,44.9,45.3,9.3,0.4,0.1
房间,25724855,363377,47.7,43.6,8.2,0.4,0.1
爱乐之城,25934014,873692,43.1,38.0,16.0,2.2,0.6
花束般的恋爱,34874432,592581,44.4,42.6,11.6,1.0,0.3
步履不停,2222996,273503,50.8,40.5,8.0,0.6,0.2
战争之王,1419936,360722,46.5,42.8,10.0,0.6,0.1
魂断蓝桥,1293964,272694,50.9,39.8,8.7,0.5,0.1
火星救援,25864085,711102,39.2,48.6,11.5,0.7,0.2
哈利·波特与死亡圣器(上),2051007,557560,42.8,41.6,14.1,1.2,0.3
千年女优,1307394,259440,53.3,35.9,9.7,0.9,0.3
芙蓉镇,1297880,129653,67.6,27.8,4.1,0.3,0.1
谍影重重2,1308767,344967,46.1,43.3,10.1,0.5,0.1
燃情岁月,1295865,281398,51.7,36.4,10.5,1.1,0.4
阿飞正传,1305690,501042,39.9,46.4,12.8,0.8,0.2
弱点,3552028,299495,48.5,40.8,9.8,0.7,0.2
谍影重重,1304102,416697,43.9,42.9,12.3,0.7,0.1
朗读者,2213597,447575,42.9,45.5,10.9,0.6,0.1
再次出发之纽约遇见你,6874403,419763,43.8,42.9,12.3,0.8,0.2
香水,1760622,535635,42.2,43.1,12.8,1.4,0.6
海洋,3443389,154924,62.5,29.9,6.9,0.5,0.2
哈利·波特与凤凰社,1457217,549530,42.0,41.6,15.2,1.1,0.2
穿越时空的少女,1937946,375169,45.7,40.7,12.3,1.0,0.2
地球上的星星,2363506,201460,54.8,35.9,8.4,0.7,0.2
我的奇怪朋友,27591191,27206,19.4,23.1,25.9,15.7,15.7
超星星学园,26765418,80301,12.0,8.1,21.9,9.3,48.8
相爱穿梭千年2：月光下的交换,26615597,14478,9.8,10.8,21.6,14.7,43.1
女心理师,30313647,216393,6.9,11.5,34.3,29.2,18.1
沉香如屑·沉香重华,35029547,522977,21.5,16.1,19.4,20.8,22.2
招摇,27075195,67924,9.1,18.0,43.2,22.0,7.9
蓝色生死恋,26971645,15687,0.6,1.1,6.0,19.7,72.6
烈火军校,30157168,56567,12.4,27.5,44.3,10.6,5.2
从前有座灵剑山,26877434,84496,12.7,35.2,41.0,9.0,2.1
天舞纪,26926450,24732,9.3,10.6,39.1,23.6,17.4
骊歌行,30400625,37254,3.6,8.7,33.1,36.8,17.8
1921,35125443,164898,11.8,30.0,41.9,12.9,3.5
千古玦尘,26811532,145331,9.6,13.4,31.8,24.1,21.2
你微笑时很美,30148173,412265,3.0,4.0,10.9,12.0,70.0
