title,rating,score_num,comment_num,ratio,work_id
三生三世枕上书,6.8,342031,153669,0.449,26915522
最动听的事,6.0,12007,3385,0.282,27663766
烈火如歌,5.9,88225,34222,0.388,26703476
解忧杂货店,5.0,191506,62447,0.326,26654146
21克拉,4.5,70166,23244,0.331,26691361
一千零一夜,5.3,106266,39333,0.37,27088995
幸福，触手可及！,5.0,116610,41995,0.36,27073044
你是我的荣耀,6.9,456197,201528,0.442,33454980
与君初相识·恰似故人归,5.7,203595,114154,0.561,35235410
天雷一部之春花秋月,6.2,38838,13634,0.351,30258233
三千鸦杀,5.3,66918,27728,0.414,27611494
传闻中的陈芊芊,7.3,357777,142205,0.397,34463197
我，喜欢你,6.5,85320,32671,0.383,34908020
长歌行,6.0,306266,145621,0.475,26926445
一不小心捡到爱,4.3,20867,7869,0.377,35082299
国子监来了个女弟子,3.8,49207,23083,0.469,35131244
且试天下,5.7,129138,66872,0.518,26339609
星汉灿烂·月升沧海,7.7,525019,239400,0.456,35452438
胡同,5.8,20695,10034,0.485,35274947
听见她说,8.0,33029,12354,0.374,35164015
暴风眼,5.5,61678,32784,0.532,30476726
斛珠夫人,4.8,122808,64029,0.521,26798457
谢谢你医生,6.3,82216,41184,0.501,34454212
你和我的倾城时光,5.5,64510,25468,0.395,26386688
知否知否应是绿肥红瘦,7.8,501851,195546,0.39,26928226
谁是凶手,6.2,202938,83434,0.411,35180907
幸福到万家,7.1,243179,133022,0.547,34951002
风吹半夏,8.2,352205,134742,0.383,35161592
热血同行,6.8,73117,34587,0.473,27145093
冷血狂宴,3.8,48050,22185,0.462,26673282
送你一朵小红花,7.2,733631,277679,0.378,35096844
中国医生,6.9,240413,94612,0.394,35087699
长津湖,7.4,732140,256744,0.351,25845392
奇迹·笨小孩,7.4,540284,207305,0.384,35312437
长津湖之水门桥,7.2,343905,110806,0.322,35613853
少年的你,8.2,1439921,487074,0.338,30166972
满江红,7.1,849597,361653,0.426,35766491
世间有她,5.2,35028,19279,0.55,35187381
肖申克的救赎,9.7,2826380,553533,0.196,1292052
霸王别姬,9.6,2094515,445227,0.213,1291546
阿甘正传,9.5,2116313,354470,0.167,1292720
泰坦尼克号,9.5,2124229,422456,0.199,1292722
这个杀手不太冷,9.4,2250555,383893,0.171,1295644
美丽人生,9.6,1300919,284800,0.219,1292063
千与千寻,9.4,2193404,406378,0.185,1291561
辛德勒的名单,9.6,1083589,180658,0.167,1295124
盗梦空间,9.4,2021568,396248,0.196,3541415
星际穿越,9.4,1786377,438006,0.245,1889243
楚门的世界,9.4,1657974,329729,0.199,1292064
忠犬八公的故事,9.4,1373733,302261,0.22,3011091
海上钢琴师,9.3,1646379,330886,0.201,1292001
三傻大闹宝莱坞,9.2,1824906,360173,0.197,3793023
放牛班的春天,9.3,1286442,226199,0.176,1291549
机器人总动员,9.3,1291616,232612,0.18,2131459
无间道,9.3,1331554,217043,0.163,1307914
疯狂动物城,9.2,1884403,381114,0.202,25662329
控方证人,9.6,535805,155931,0.291,1296141
大话西游之大圣娶亲,9.2,1503109,253416,0.169,1292213
熔炉,9.4,914712,213431,0.233,5912992
教父,9.3,945048,162326,0.172,1291841
当幸福来敲门,9.2,1490973,242659,0.163,1849031
触不可及,9.3,1086280,237395,0.219,6786002
怦然心动,9.1,1796818,419095,0.233,3319755
龙猫,9.2,1239529,231527,0.187,1291560
末代皇帝,9.3,857903,177230,0.207,1293172
寻梦环游记,9.1,1633945,419305,0.257,20495023
活着,9.3,824286,176092,0.214,1292365
蝙蝠侠：黑暗骑士,9.2,1034525,178450,0.172,1851857
哈利·波特与魔法石,9.2,1158164,182218,0.157,1295038
指环王3：王者无敌,9.3,786171,112528,0.143,1291552
乱世佳人,9.3,676217,152481,0.225,1300267
我不是药神,9.0,2056399,532245,0.259,26752088
素媛,9.3,672193,143427,0.213,21937452
飞屋环游记,9.1,1297611,212403,0.164,2129039
何以为家,9.1,1023276,258903,0.253,30170448
十二怒汉,9.4,477623,115061,0.241,1293182
哈尔的移动城堡,9.1,998464,179446,0.18,1308807
摔跤吧！爸爸,9.0,1540159,312594,0.203,26387939
鬼子来了,9.3,613285,117393,0.191,1291858
少年派的奇幻漂流,9.1,1326537,305420,0.23,1929463
让子弹飞,9.0,1663329,318262,0.191,3742360
猫鼠游戏,9.1,995207,180701,0.182,1305487
海蒂和爷爷,9.3,587069,179733,0.306,25958717
钢琴家,9.3,619923,115475,0.186,1296736
大话西游之月光宝盒,9.0,1197239,134833,0.113,1299398
天空之城,9.2,803186,121610,0.151,1291583
指环王2：双塔奇兵,9.2,736427,86568,0.118,1291572
