words,times
出彩,555
黑人,555
猫,554
注定,552
学生,551
字幕,550
昆汀,550
难过,548
够,547
反,545
演绎,543
亮点,542
拍出,542
意外,542
泪点,542
T,541
张国荣,539
线,539
错过,539
无限,538
情怀,538
魔法,538
今敏,537
正义,537
哈利波,537
买,535
类似,535
非,534
小女孩,534
问,533
阳光,533
气质,533
等待,529
永恒,529
枝裕,529
一半,526
慢慢,524
评论,524
好人,523
商业,523
时空,522
性,520
传奇,520
有时候,520
不停,520
超,519
书,519
体现,518
心情,518
铺垫,517
梁朝伟,517
消失,516
导致,516
创意,515
感谢,514
状态,513
享受,513
视觉,512
黑,512
我会,510
有种,510
无论是,510
一条,509
黑白,507
說,507
之外,507
紧凑,505
隐喻,505
武士,504
荒诞,503
再也,503
流畅,503
体会,501
后半段,501
寻找,500
价值,499
精致,498
哲学,498
黑色幽默,496
伤害,496
對,495
小人物,495
牺牲,494
氛围,492
黑帮,492
拖沓,492
星爷,490
恐惧,489
神作,489
沉重,488
回,488
评分,488
天使,487
活下去,487
太多,486
主演,486
表情,486
年前,484
很难,484
夸张,483
全程,483
欲望,482
触动,482
错,480
水平,480
家族,480
住,480
生,479
俗套,479
帅,478
老婆,475
证明,473
纪录片,472
解释,471
叙述,471
怀疑,471
强,470
ps,470
教授,467
愤怒,467
变化,466
i,466
达,464
一位,463
成熟,462
美的,462
人间,461
惊悚,461
段落,460
犯罪,460
第一,459
遍,459
承认,457
深度,457
典型,457
道,457
诠释,457
公主,456
妈,456
不用,456
The,455
对白,455
紧张,454
回味,453
太过,453
探讨,452
友情,451
修复,451
舒服,450
影评,450
机器,449
拉,449
思想,449
為,447
久,447
忍不住,447
外,446
後,446
四个,446
气氛,445
反派,443
无数,442
前半段,442
变态,442
进,441
想法,441
理由,440
般,438
家人,437
设置,437
反思,437
克制,436
救,436
调度,436
主人公,436
想想,435
迷人,435
钱,435
回家,434
恋爱,433
城,431
平静,431
第三部,430
穿,430
可怜,430
恶心,429
戳,429
很大,429
抱,428
影子,428
平庸,427
害怕,427
国内,427
熟悉,427
儿童,426
神奇,426
一步,426
几年,426
男性,425
十足,425
谎言,424
包括,423
幸运,423
办法,423
身体,422
听到,421
时期,421
珍惜,419
相遇,419
房间,419
估计,419
张力,419
太好了,416
道德,416
梗,416
平行,416
死去,415
懂得,415
斯皮尔伯格,415
拥抱,414
水准,414
奇迹,413
戏剧,413
太棒了,412
段,412
几次,412
控制,412
概念,412
凶手,411
堪称,411
看不懂,410
B,410
一件,409
公路,409
态度,408
营造,408
尊重,408
手,407
创造,407
巧妙,407
流泪,406
跳,406
一個,406
追逐,406
科幻片,405
反抗,404
平凡,404
本质,404
欢乐,403
终究,403
天空,402
早就,402
麦克,401
成就,401
演出,401
血腥,401
小孩子,400
啊啊啊,400
怀念,399
配角,399
深深,399
影史,398
轻松,398
宏大,397
满分,397
一路,397
假,397
讨论,396
life,395
冗长,394
青年,394
渴望,393
讓,391
不算,391
那一刻,391
看不到,390
佩服,390
自私,389
共鸣,389
年度,389
混乱,389
和平,389
杀手,388
魔,388
独特,388
展示,387
恰到好处,387
字,387
风景,387
能量,386
邪恶,386
奇怪,386
老套,385
早,385
二刷,385
功夫,385
回头,384
與,384
内核,384
坐在,384
一点点,384
先,384
讲故事,384
狗血,383
情,383
学校,381
赫本,381
好片,381
人格,380
一只,380
一星,380
聪明,380
俩,379
不太,378
黑色,378
花,377
全世界,377
当初,376
坚强,376
道理,375
坏,375
记住,374
类,374
两位,373
那场,373
地球,373
世界观,372
You,372
坏人,370
哪吒,370
远,370
我要,369
之下,369
刺激,369
反复,369
缺乏,368
於,368
演得,368
佳作,367
梦境,367
二战,366
重,365
真是太,365
技巧,364
陪,364
剩下,364
杨,364
华丽,363
爱情故事,363
悬念,363
过瘾,362
同学,362
高度,362
做作,362
差点,362
模仿,361
标准,361
片名,361
有个,361
向往,359
独立,359
帕西诺,359
情况,358
港片,358
宗教,357
辛德勒,357
感慨,357
挣扎,356
一年,356
婚姻,355
底层,355
批判,355
开,355
描述,354
大部分,354
杰克,354
來,354
爆,354
悲哀,353
早已,353
农民,353
大人,353
难受,353
总会,352
表面,352
爱上,352
运动,352
天堂,352
失败,352
世纪,351
笑点,351
抛弃,351
初恋,351
回归,351
学习,350
无间道,350
关注,350
总有,350
清晰,350
符合,349
足以,349
毁灭,349
催泪,349
自杀,349
受,349
答案,348
偏见,348
关键,348
莫名其妙,348
三部,347
换,347
苦难,346
爷爷,346
高分,346
事实,346
年纪,346
内涵,346
寂寞,345
无疑,345
未,344
说话,344
执着,344
安排,344
原本,344
一把,344
还原,343
开场,343
接近,343
萌,343
电视,342
打斗,342
最深,342
再见,341
令,341
文明,341
风,340
描写,340
一部分,340
泪,340
剧作,340
鸡汤,339
爱人,339
姑娘,338
精灵,338
展开,338
视听,338
智慧,338
渲染,337
做出,337
法国,337
魔幻,337
爱情片,337
阶级,336
跟着,336
利用,336
用心,336
德昌,335
皆,335
最美,334
森林,334
主旋律,334
动容,334
商业片,333
奇幻,333
学会,333
飞,332
感触,332
次,331
纳粹,330
目的,330
这句,330
色调,330
感叹,329
路上,329
爆发,328
大学,327
犹太人,327
反映,327
遇见,327
沉默,327
资料馆,326
模式,326
唯美,326
影帝,325
续集,325
付出,325
心酸,325
出场,324
为啥,324
戏份,324
世上,324
法律,324
台湾,324
脆弱,324
完后,323
一张,323
头,322
长得,322
石头,322
地位,321
激情,321
责任,320
和解,320
只会,320
弟弟,320
作,320
无厘头,320
皮特,320
阿甘,320
冷静,319
半小时,318
制造,317
小朋友,316
妹妹,316
从头到尾,315
一刻,315
和谐,315
结婚,315
鲜明,315
民族,315
种种,315
矫情,314
只不过,314
纠结,314
种族,314
拍得,314
把握,314
重点,314
友谊,313
李子,313
激动,313
前半部,313
恶,313
唱,312
美学,312
乐观,311
升华,311
体制,311
原谅,310
响起,310
造型,310
某种,309
太美,309
普通人,309
睡着,309
老头,309
旁白,309
英国,308
晚上,308
带给,308
歌舞,308
迪士尼,308
全,307
相互,307
反正,307
融合,306
冒险,306
成人,306
智商,305
两,305
老人,305
功力,303
還是,303
黑泽明,303
重复,302
坚定,302
唏嘘,302
观感,302
